           Date         AMZN
0    2010-01-04   133.899994
1    2010-01-05   134.690002
2    2010-01-06   132.250000
3    2010-01-07   130.000000
4    2010-01-08   133.520004
5    2010-01-11   130.309998
6    2010-01-12   127.349998
7    2010-01-13   129.110001
8    2010-01-14   127.349998
9    2010-01-15   127.139999
10   2010-01-19   127.610001
11   2010-01-20   125.779999
12   2010-01-21   126.620003
13   2010-01-22   121.430000
14   2010-01-25   120.309998
15   2010-01-26   119.480003
16   2010-01-27   122.750000
17   2010-01-28   126.029999
18   2010-01-29   125.410004
19   2010-02-01   118.870003
20   2010-02-02   118.120003
21   2010-02-03   119.099998
22   2010-02-04   115.940002
23   2010-02-05   117.389999
24   2010-02-08   116.830002
25   2010-02-09   118.029999
26   2010-02-10   117.360001
27   2010-02-11   120.089996
28   2010-02-12   119.660004
29   2010-02-16   117.529999
30   2010-02-17   116.309998
31   2010-02-18   118.080002
32   2010-02-19   117.519997
33   2010-02-22   118.010002
34   2010-02-23   117.239998
35   2010-02-24   119.720001
36   2010-02-25   118.199997
37   2010-02-26   118.400002
38   2010-03-01   124.540001
39   2010-03-02   125.529999
40   2010-03-03   125.889999
41   2010-03-04   128.529999
42   2010-03-05   128.910004
43   2010-03-08   130.110001
44   2010-03-09   128.820007
45   2010-03-10   130.509995
46   2010-03-11   133.580002
47   2010-03-12   131.820007
48   2010-03-15   131.130005
49   2010-03-16   131.789993
50   2010-03-17   131.339996
51   2010-03-18   132.759995
52   2010-03-19   130.350006
53   2010-03-22   130.470001
54   2010-03-23   129.259995
55   2010-03-24   128.039993
56   2010-03-25   134.729996
57   2010-03-26   135.059998
58   2010-03-29   135.119995
59   2010-03-30   136.580002
60   2010-03-31   135.770004
61   2010-04-01   131.809998
62   2010-04-05   131.490005
63   2010-04-06   135.559998
64   2010-04-07   134.869995
65   2010-04-08   140.960007
66   2010-04-09   140.059998
67   2010-04-12   141.199997
68   2010-04-13   140.160004
69   2010-04-14   144.279999
70   2010-04-15   145.820007
71   2010-04-16   142.169998
72   2010-04-19   142.429993
73   2010-04-20   144.199997
74   2010-04-21   146.429993
75   2010-04-22   150.089996
76   2010-04-23   143.630005
77   2010-04-26   147.110001
78   2010-04-27   142.020004
79   2010-04-28   139.350006
80   2010-04-29   141.729996
81   2010-04-30   137.100006
82   2010-05-03   137.490005
83   2010-05-04   129.830002
84   2010-05-05   130.929993
85   2010-05-06   128.710007
86   2010-05-07   124.980003
87   2010-05-10   131.289993
88   2010-05-11   130.460007
89   2010-05-12   133.869995
90   2010-05-13   131.470001
91   2010-05-14   128.529999
92   2010-05-17   128.910004
93   2010-05-18   126.279999
94   2010-05-19   124.589996
95   2010-05-20   119.709999
96   2010-05-21   122.720001
97   2010-05-24   122.120003
98   2010-05-25   124.860001
99   2010-05-26   123.209999
100  2010-05-27   126.699997
101  2010-05-28   125.459999
102  2010-06-01   123.239998
103  2010-06-02   126.309998
104  2010-06-03   128.759995
105  2010-06-04   122.769997
106  2010-06-07   122.010002
107  2010-06-08   118.839996
108  2010-06-09   117.910004
109  2010-06-10   123.209999
110  2010-06-11   123.029999
111  2010-06-14   123.830002
112  2010-06-15   126.839996
113  2010-06-16   126.900002
114  2010-06-17   125.889999
115  2010-06-18   125.830002
116  2010-06-21   122.550003
117  2010-06-22   122.309998
118  2010-06-23   121.449997
119  2010-06-24   118.330002
120  2010-06-25   121.000000
121  2010-06-28   117.800003
122  2010-06-29   108.610001
123  2010-06-30   109.260002
124  2010-07-01   110.959999
125  2010-07-02   109.139999
126  2010-07-06   110.059998
127  2010-07-07   113.430000
128  2010-07-08   116.220001
129  2010-07-09   117.260002
130  2010-07-12   119.510002
131  2010-07-13   123.650002
132  2010-07-14   123.300003
133  2010-07-15   122.059998
134  2010-07-16   118.489998
135  2010-07-19   119.940002
136  2010-07-20   120.099998
137  2010-07-21   117.430000
138  2010-07-22   120.070000
139  2010-07-23   118.870003
140  2010-07-26   118.400002
141  2010-07-27   117.129997
142  2010-07-28   117.129997
143  2010-07-29   116.860001
144  2010-07-30   117.889999
145  2010-08-02   120.070000
146  2010-08-03   122.419998
147  2010-08-04   127.580002
148  2010-08-05   127.830002
149  2010-08-06   128.320007
150  2010-08-09   128.830002
151  2010-08-10   130.000000
152  2010-08-11   125.889999
153  2010-08-12   126.559998
154  2010-08-13   124.690002
155  2010-08-16   126.070000
156  2010-08-17   128.860001
157  2010-08-18   129.649994
158  2010-08-19   127.570000
159  2010-08-20   127.760002
160  2010-08-23   126.599998
161  2010-08-24   124.529999
162  2010-08-25   126.849998
163  2010-08-26   124.860001
164  2010-08-27   126.639999
165  2010-08-30   123.790001
166  2010-08-31   124.830002
167  2010-09-01   132.490005
168  2010-09-02   135.210007
169  2010-09-03   138.789993
170  2010-09-07   137.220001
171  2010-09-08   139.139999
172  2010-09-09   140.380005
173  2010-09-10   142.440002
174  2010-09-13   145.070007
175  2010-09-14   145.750000
176  2010-09-15   145.449997
