           Date        GOOGL
0    2010-01-04   313.688690
1    2010-01-05   312.307312
2    2010-01-06   304.434448
3    2010-01-07   297.347351
4    2010-01-08   301.311310
5    2010-01-11   300.855865
6    2010-01-12   295.535522
7    2010-01-13   293.838837
8    2010-01-14   295.220215
9    2010-01-15   290.290283
10   2010-01-19   294.104095
11   2010-01-20   290.495483
12   2010-01-21   291.781769
13   2010-01-22   275.280273
14   2010-01-25   270.270264
15   2010-01-26   271.481476
16   2010-01-27   271.321320
17   2010-01-28   267.412415
18   2010-01-29   265.235229
19   2010-02-01   266.776764
20   2010-02-02   265.825836
21   2010-02-03   270.680695
22   2010-02-04   263.653656
23   2010-02-05   265.910919
24   2010-02-08   267.002014
25   2010-02-09   268.488495
26   2010-02-10   267.492493
27   2010-02-11   268.468475
28   2010-02-12   266.826813
29   2010-02-16   270.920929
30   2010-02-17   269.374359
31   2010-02-18   271.881897
32   2010-02-19   270.650665
33   2010-02-22   271.671661
34   2010-02-23   267.802795
35   2010-02-24   266.001007
36   2010-02-25   263.478485
37   2010-02-26   263.663666
38   2010-03-01   266.611603
39   2010-03-02   270.800812
40   2010-03-03   272.932922
41   2010-03-04   277.572571
42   2010-03-05   282.387390
43   2010-03-08   281.521515
44   2010-03-09   280.375366
45   2010-03-10   288.513519
46   2010-03-11   290.860870
47   2010-03-12   290.060059
48   2010-03-15   281.871887
49   2010-03-16   282.882874
50   2010-03-17   283.063049
51   2010-03-18   283.483490
52   2010-03-19   280.280273
53   2010-03-22   279.029022
54   2010-03-23   274.774780
55   2010-03-24   278.943939
56   2010-03-25   281.721710
57   2010-03-26   281.626617
58   2010-03-29   281.506500
59   2010-03-30   283.638641
60   2010-03-31   283.843842
61   2010-04-01   284.684692
62   2010-04-05   285.790802
63   2010-04-06   284.394409
64   2010-04-07   282.052063
65   2010-04-08   284.029022
66   2010-04-09   283.393402
67   2010-04-12   286.651642
68   2010-04-13   293.678680
69   2010-04-14   294.794800
70   2010-04-15   297.947937
71   2010-04-16   275.350342
72   2010-04-19   275.325317
73   2010-04-20   277.797791
74   2010-04-21   277.427429
75   2010-04-22   273.803802
76   2010-04-23   272.767761
77   2010-04-26   266.086090
78   2010-04-27   264.794800
79   2010-04-28   264.859863
80   2010-04-29   266.266266
81   2010-04-30   263.113098
82   2010-05-03   265.565552
83   2010-05-04   253.438431
84   2010-05-05   255.135132
85   2010-05-06   249.584579
86   2010-05-07   246.816818
87   2010-05-10   261.086090
88   2010-05-11   254.779785
89   2010-05-12   252.947952
90   2010-05-13   255.695694
91   2010-05-14   254.019012
92   2010-05-17   254.239243
93   2010-05-18   249.434433
94   2010-05-19   247.462463
95   2010-05-20   237.742737
96   2010-05-21   236.261261
97   2010-05-24   238.818817
98   2010-05-25   238.773773
99   2010-05-26   237.972977
100  2010-05-27   245.475479
101  2010-05-28   243.058060
102  2010-06-01   241.426422
103  2010-06-02   246.931931
104  2010-06-03   253.053055
105  2010-06-04   249.609604
106  2010-06-07   243.003006
107  2010-06-08   242.632629
108  2010-06-09   237.247253
109  2010-06-10   243.748749
110  2010-06-11   244.494492
111  2010-06-14   241.836838
112  2010-06-15   249.244247
113  2010-06-16   250.885880
114  2010-06-17   250.290283
115  2010-06-18   250.265259
116  2010-06-21   244.524521
117  2010-06-22   243.368362
118  2010-06-23   241.266266
119  2010-06-24   237.787781
120  2010-06-25   236.576584
121  2010-06-28   236.276276
122  2010-06-29   227.357361
123  2010-06-30   222.697693
124  2010-07-01   219.964966
125  2010-07-02   218.493500
126  2010-07-06   218.253250
127  2010-07-07   225.325317
128  2010-07-08   228.508514
129  2010-07-09   233.978973
130  2010-07-12   238.153152
131  2010-07-13   244.844849
132  2010-07-14   245.915909
133  2010-07-15   247.257263
134  2010-07-16   230.035034
135  2010-07-19   233.323318
136  2010-07-20   241.036041
137  2010-07-21   238.988983
138  2010-07-22   242.647644
139  2010-07-23   245.275269
140  2010-07-26   244.729736
141  2010-07-27   246.561569
142  2010-07-28   242.417419
143  2010-07-29   242.737732
144  2010-07-30   242.667664
145  2010-08-02   245.450455
146  2010-08-03   245.160156
147  2010-08-04   253.413406
148  2010-08-05   254.304306
149  2010-08-06   250.360367
150  2010-08-09   252.927933
151  2010-08-10   252.107101
152  2010-08-11   246.116119
153  2010-08-12   246.251251
154  2010-08-13   243.418411
155  2010-08-16   243.038040
156  2010-08-17   245.505508
157  2010-08-18   241.316315
158  2010-08-19   234.219223
159  2010-08-20   231.241241
160  2010-08-23   232.267273
161  2010-08-24   225.920914
162  2010-08-25   227.537537
163  2010-08-26   225.715714
164  2010-08-27   229.644638
165  2010-08-30   226.571579
166  2010-08-31   225.235229
167  2010-09-01   230.395401
168  2010-09-02   231.821823
169  2010-09-03   235.385391
170  2010-09-07   232.432434
171  2010-09-08   235.525528
172  2010-09-09   238.328323
173  2010-09-10   238.308304
174  2010-09-13   241.376373
175  2010-09-14   240.455460
176  2010-09-15   240.560562
177  2010-09-16   240.770767
178  2010-09-17   245.320312
179  2010-09-20   254.394394
180  2010-09-21   256.987000
181  2010-09-22   258.258270
182  2010-09-23   256.997009
183  2010-09-24   263.908905
184  2010-09-27   265.470459
185  2010-09-28   263.848846
186  2010-09-29   264.109100
187  2010-09-30   263.158173
188  2010-10-01   263.073059
189  2010-10-04   261.436432
190  2010-10-05   269.384369
191  2010-10-06   267.442444
192  2010-10-07   265.270264
193  2010-10-08   268.443451
194  2010-10-11   269.689697
195  2010-10-12   270.965973
196  2010-10-13   271.921936
197  2010-10-14   270.735748
198  2010-10-15   301.026031
199  2010-10-18   309.164154
200  2010-10-19   304.219208
201  2010-10-20   304.294281
202  2010-10-21   306.301300
203  2010-10-22   306.571564
204  2010-10-25   308.558563
205  2010-10-26   309.609619
206  2010-10-27   308.543549
207  2010-10-28   309.599609
208  2010-10-29   307.157166
