           Date        MSFT
0    2010-01-04   24.049969
1    2010-01-05   24.057743
2    2010-01-06   23.910097
3    2010-01-07   23.661432
4    2010-01-08   23.824627
5    2010-01-11   23.521576
6    2010-01-12   23.366163
7    2010-01-13   23.583742
8    2010-01-14   24.057743
9    2010-01-15   23.980036
10   2010-01-19   24.166536
11   2010-01-20   23.770227
12   2010-01-21   23.319540
13   2010-01-22   22.503624
14   2010-01-25   22.783371
15   2010-01-26   22.923231
16   2010-01-27   23.055338
17   2010-01-28   22.659039
18   2010-01-29   21.897520
19   2010-02-01   22.076241
20   2010-02-02   22.115095
21   2010-02-03   22.247196
22   2010-02-04   21.633324
23   2010-02-05   21.773190
24   2010-02-08   21.540071
25   2010-02-09   21.765419
26   2010-02-10   21.749876
27   2010-02-11   21.850897
28   2010-02-12   21.703253
29   2010-02-16   22.132629
30   2010-02-17   22.320002
31   2010-02-18   22.616663
32   2010-02-19   22.460526
33   2010-02-22   22.429291
34   2010-02-23   22.117018
35   2010-02-24   22.351229
36   2010-02-25   22.327806
37   2010-02-26   22.382458
38   2010-03-01   22.655703
39   2010-03-02   22.218512
40   2010-03-03   22.218512
41   2010-03-04   22.351229
42   2010-03-05   22.320002
43   2010-03-08   22.351229
44   2010-03-09   22.483940
45   2010-03-10   22.616663
46   2010-03-11   22.780609
47   2010-03-12   22.850872
48   2010-03-15   22.866486
49   2010-03-16   22.928942
50   2010-03-17   23.131914
51   2010-03-18   23.116302
52   2010-03-19   23.100687
53   2010-03-22   23.108503
54   2010-03-23   23.327097
55   2010-03-24   23.147533
56   2010-03-25   23.428585
57   2010-03-26   23.155340
58   2010-03-29   23.100687
59   2010-03-30   23.241215
60   2010-03-31   22.866486
61   2010-04-01   22.764992
62   2010-04-05   22.850872
63   2010-04-06   22.889906
64   2010-04-07   22.913326
65   2010-04-08   23.358322
66   2010-04-09   23.686214
67   2010-04-12   23.670597
68   2010-04-13   23.772085
69   2010-04-14   24.060944
70   2010-04-15   24.099979
71   2010-04-16   23.943846
72   2010-04-19   24.232697
73   2010-04-20   24.482513
74   2010-04-21   24.459091
75   2010-04-22   24.505941
76   2010-04-23   24.170242
77   2010-04-26   24.287352
78   2010-04-27   24.084370
79   2010-04-28   24.131205
80   2010-04-29   24.201466
81   2010-04-30   23.842352
82   2010-05-03   24.092169
83   2010-05-04   23.522266
84   2010-05-05   23.303669
85   2010-05-06   22.624477
86   2010-05-07   22.023335
87   2010-05-10   22.593245
88   2010-05-11   22.546406
89   2010-05-12   22.983589
90   2010-05-13   22.827452
91   2010-05-14   22.585432
92   2010-05-17   22.593245
93   2010-05-18   22.428556
94   2010-05-19   22.146233
95   2010-05-20   21.260075
96   2010-05-21   21.048334
97   2010-05-24   20.601336
98   2010-05-25   20.444496
99   2010-05-26   19.613216
100  2010-05-27   20.389599
101  2010-05-28   20.232756
102  2010-06-01   20.303335
103  2010-06-02   20.750338
104  2010-06-03   21.064024
105  2010-06-04   20.224915
106  2010-06-07   19.832806
107  2010-06-08   19.691647
108  2010-06-09   19.440699
109  2010-06-10   19.605375
110  2010-06-11   20.122965
111  2010-06-14   19.997488
112  2010-06-15   20.844448
113  2010-06-16   20.640539
114  2010-06-17   20.679756
115  2010-06-18   20.734650
116  2010-06-21   20.350384
117  2010-06-22   20.209232
118  2010-06-23   19.848488
119  2010-06-24   19.605375
120  2010-06-25   19.236801
121  2010-06-28   19.064274
122  2010-06-29   18.280058
123  2010-06-30   18.044788
124  2010-07-01   18.162430
125  2010-07-02   18.248686
126  2010-07-06   18.680012
127  2010-07-07   19.056431
128  2010-07-08   19.142696
129  2010-07-09   19.032900
130  2010-07-12   19.472071
131  2010-07-13   19.707331
132  2010-07-14   19.950441
133  2010-07-15   20.005337
134  2010-07-16   19.519117
135  2010-07-19   19.785746
136  2010-07-20   19.981806
137  2010-07-21   19.699488
138  2010-07-22   20.264122
139  2010-07-23   20.240597
140  2010-07-26   20.468014
141  2010-07-27   20.515074
142  2010-07-28   20.350384
143  2010-07-29   20.413128
144  2010-07-30   20.240597
145  2010-08-02   20.648388
146  2010-08-03   20.515074
147  2010-08-04   20.177860
148  2010-08-05   19.895544
149  2010-08-06   20.036699
150  2010-08-09   20.083752
151  2010-08-10   19.660278
152  2010-08-11   19.495594
153  2010-08-12   19.205433
154  2010-08-13   19.134853
155  2010-08-16   19.213270
156  2010-08-17   19.481331
157  2010-08-18   19.568048
158  2010-08-19   19.268465
159  2010-08-20   19.102905
160  2010-08-23   19.142319
161  2010-08-24   18.953100
162  2010-08-25   19.000410
163  2010-08-26   18.779657
164  2010-08-27   18.866383
165  2010-08-30   18.637745
166  2010-08-31   18.503719
167  2010-09-01   18.842728
168  2010-09-02   18.874262
169  2010-09-03   19.150202
170  2010-09-07   18.890026
171  2010-09-08   18.866383
172  2010-09-09   18.929445
173  2010-09-10   18.803307
174  2010-09-13   19.796700
175  2010-09-14   19.733614
176  2010-09-15   19.804573
177  2010-09-16   19.970144
178  2010-09-17   19.883415
179  2010-09-20   20.048981
180  2010-09-21   19.828226
181  2010-09-22   19.402494
182  2010-09-23   19.260582
183  2010-09-24   19.536522
184  2010-09-27   19.497103
185  2010-09-28   19.457676
186  2010-09-29   19.315765
187  2010-09-30   19.307880
188  2010-10-01   19.221153
189  2010-10-04   18.850613
190  2010-10-05   19.197512
191  2010-10-06   19.260582
192  2010-10-07   19.339417
193  2010-10-08   19.370956
194  2010-10-11   19.386719
195  2010-10-12   19.575941
196  2010-10-13   19.978016
197  2010-10-14   19.891296
198  2010-10-15   20.135702
199  2010-10-18   20.356457
200  2010-10-19   19.788805
201  2010-10-20   19.954370
202  2010-10-21   20.041098
203  2010-10-22   20.009550
204  2010-10-25   19.859764
205  2010-10-26   20.419523
206  2010-10-27   20.537785
207  2010-10-28   20.719118
208  2010-10-29   21.026587
209  2010-11-01   21.247341
210  2010-11-02   21.594242
211  2010-11-03   21.310415
212  2010-11-04   21.397142
213  2010-11-05   21.168507
214  2010-11-08   21.136969
215  2010-11-09   21.247341
216  2010-11-10   21.239462
217  2010-11-11   21.034475
218  2010-11-12   20.711233
219  2010-11-15   20.656044
220  2010-11-16   20.473600
221  2010-11-17   20.283218
222  2010-11-18   20.497398
223  2010-11-19   20.378408
224  2010-11-22   20.410135
225  2010-11-23   19.926264
226  2010-11-24   20.124575
227  2010-11-26   20.029383
228  2010-11-29   20.076979
229  2010-11-30   20.037313
230  2010-12-01   20.656046
231  2010-12-02   21.330296
232  2010-12-03   21.433424
233  2010-12-06   21.290632
234  2010-12-07   21.314434
235  2010-12-08   21.600002
236  2010-12-09   21.481012
237  2010-12-10   21.687252
238  2010-12-13   21.615866
239  2010-12-14   21.909372
240  2010-12-15   22.091818
241  2010-12-16   22.202869
242  2010-12-17   22.131475
243  2010-12-20   22.060081
244  2010-12-21   22.266329
245  2010-12-22   22.361511
246  2010-12-23   22.448769
247  2010-12-27   22.266329
248  2010-12-28   22.218729
249  2010-12-29   22.187006
250  2010-12-30   22.091818
251  2010-12-31   22.139410
252  2011-01-03   22.194935
253  2011-01-04   22.282196
254  2011-01-05   22.210800
255  2011-01-06   22.861258
256  2011-01-07   22.686743
257  2011-01-10   22.385311
258  2011-01-11   22.298059
259  2011-01-12   22.647087
260  2011-01-13   22.361511
261  2011-01-14   22.448769
262  2011-01-18   22.734343
263  2011-01-19   22.583622
264  2011-01-20   22.488434
265  2011-01-21   22.226664
266  2011-01-24   22.512232
267  2011-01-25   22.567760
268  2011-01-26   22.829529
269  2011-01-27   22.900921
270  2011-01-28   22.012486
271  2011-01-31   21.996626
272  2011-02-01   22.202869
273  2011-02-02   22.163204
274  2011-02-03   21.933165
275  2011-02-04   22.028351
276  2011-02-07   22.369446
277  2011-02-08   22.432903
278  2011-02-09   22.187006
279  2011-02-10   21.814182
280  2011-02-11   21.615866
281  2011-02-14   21.600002
282  2011-02-15   21.512226
283  2011-02-16   21.560108
284  2011-02-17   21.711710
285  2011-02-18   21.592026
286  2011-02-22   21.216999
287  2011-02-23   21.216999
288  2011-02-24   21.360626
289  2011-02-25   21.185080
290  2011-02-28   21.209015
291  2011-03-01   20.873892
292  2011-03-02   20.810055
293  2011-03-03   20.905804
294  2011-03-04   20.706322
295  2011-03-07   20.522797
296  2011-03-08   20.674404
297  2011-03-09   20.658445
298  2011-03-10   20.275436
299  2011-03-11   20.490877
300  2011-03-14   20.498861
301  2011-03-15   20.259480
302  2011-03-16   19.780724
303  2011-03-17   19.772743
304  2011-03-18   19.788700
305  2011-03-21   20.211607
306  2011-03-22   20.187656
307  2011-03-23   20.379171
308  2011-03-24   20.594608
309  2011-03-25   20.442993
310  2011-03-28   20.275436
311  2011-03-29   20.339268
312  2011-03-30   20.435020
313  2011-03-31   20.259480
314  2011-04-01   20.331299
315  2011-04-04   20.387144
316  2011-04-05   20.570677
317  2011-04-06   20.865908
318  2011-04-07   20.905804
319  2011-04-08   20.802074
320  2011-04-11   20.730257
321  2011-04-12   20.458961
322  2011-04-13   20.450987
323  2011-04-14   20.283417
324  2011-04-15   20.243517
325  2011-04-18   20.012121
326  2011-04-19   20.067974
327  2011-04-20   20.554714
328  2011-04-21   20.363213
329  2011-04-25   20.435020
330  2011-04-26   20.897825
331  2011-04-27   21.049429
332  2011-04-28   21.312746
333  2011-04-29   20.682383
334  2011-05-02   20.474920
335  2011-05-03   20.594608
336  2011-05-04   20.794092
337  2011-05-05   20.578650
338  2011-05-06   20.642488
339  2011-05-09   20.610571
